Dataset Red Plot,
0.070494487,941.3022886
0.070582383,921.8916529
0.071229897,981.4080668
0.071308107,955.1162459
0.071454322,925.336348
0.072158153,985.868592
0.072218063,948.5234125
0.072400374,967.7166374
0.0723057,922.9101095
0.073177721,977.0163635
0.073102321,947.7785726
0.073383456,922.9068818
0.074003736,951.3502124
0.074262351,977.9741245
0.074238882,913.5682224
0.074962581,944.3389374
0.075105684,975.3891277
0.075141117,916.8675792
0.075609682,963.2947489
0.075923984,939.2324753
0.076088865,913.9992864
0.076367542,968.1700557
0.076746827,942.2511465
0.076837505,907.7586791
0.07720695,964.3652465
0.077577699,928.010648
0.077868172,907.4579492
0.078086813,958.1809085
0.078718162,942.0259727
0.078778228,912.1335769
0.079533242,962.6055834
0.079467804,898.5271107
0.079619467,938.8462055
0.079760666,918.7851147
0.080376272,956.2890113
0.080402288,905.4856834
0.080675041,936.7239798
0.081263518,911.339413
0.081348474,968.4175554
0.08149473,932.0610562
0.081691101,947.7148929
0.082236775,906.9525285
0.08243471,931.1860654
0.082532098,971.4217513
0.082927902,942.8520956
0.083083696,907.3510462
0.083457413,934.016423
0.083570523,966.7237032
0.083957592,910.1750455
0.084117561,951.1037538
0.084886915,927.8162269
0.084740424,904.5295961
0.084887743,960.1209135
0.085757443,920.9298383
0.085634953,896.4067994
0.085815738,955.8257862
0.086597918,934.6047128
0.086559484,904.4683723
0.086432386,964.8411915
0.087463843,929.168445
0.087491943,953.7805201
0.087501866,893.1051669
0.088412252,917.2924679
0.088479573,947.3617964
0.088446207,889.5936057
0.089261762,917.2293612
0.089387456,948.2571675
0.089398903,891.139882
0.090262754,943.5797324
0.090307344,913.1089011
0.090291045,885.0275717
0.091039589,938.2846449
0.091174657,894.8598976
0.091295054,921.8790947
0.091851424,918.7617552
